"store_code","store_name","province_kh","district_en","district_kh","latitude","longitude","raw_delivery_store"
"KANS002","Kokir","កណ្ដាល","Kien Svay","កៀនស្វាយ","11.511094","105.048311","KANS002 - Kokir"
"KANS003","Preaek Thmei","កណ្ដាល","Kandal Stueng","កណ្ដាលស្ទឹង","11.133705","105.057119","KANS003 - Preaek Thmei"
"KANS004","Preaek Anhchanh","កណ្ដាល","Mukh Kampul","មុខកំពូល","11.738","104.9776","KANS004 - Preaek Anhchanh"
"KANS005","Baek Chan","កណ្ដាល","Angk Snuol","អង្គស្នួល","11.509273","104.741863","KANS005 - Baek Chan"
"KOHA001","Sob Mathly","កោះកុង","Khemarak Phoumin","ខេមរភូមិន្ទ","11.595865","102.979171","KOHA001 - Sob Mathly"
"KOHA002","Trapeang Rung","កោះកុង","Kaoh Kong","កោះកុង","11.379754","103.257654","KOHA002 - Trapeang Rung"
"KOHA003","Andoung Tuek","កោះកុង","Botum Sakor","បុទុមសាគរ","11.18609","103.468786","KOHA003 - Andoung Tuek"
"KOHA004","Dang Tung 02","កោះកុង","Khemarak Phoumin","ខេមរភូមិន្ទ","11.608304","102.982362","KOHA004 - Dang Tung 02"
"KOHA005","Srae Ambel","កោះកុង","Srae Ambel","ស្រែ អំបិល","11.1860333","103.4687297","KOHA005 - Srae Ambel"
"KOHA006","Srae Ambel","កោះកុង","Srae Ambel","ស្រែ អំបិល","11.122887","103.745922","KOHA006 - Srae Ambel"
"KOHA007","Phnhi Meas","កោះកុង","Kiri Sakor","គិរីសាគរ","10.990343","103.2221","KOHA007 - Phnhi Meas"
"KOHA008","Pak Khlang","កោះកុង","Mondol Seima","មណ្ឌលសីមា","11.642346","102.922879","KOHA008 - Pak Khlang"
"KOHA009","Ruessei Chrum","កោះកុង","Thma Bang","ថ្មបាំង","11.683293","103.44224","KOHA009 - Ruessei Chrum"
"KOHA010","Smach Mean Chey","កោះកុង","Khemara Phoumin","ខេមរភូមិន្ទ","11.61593","102.98466","KOHA010 - Smach Mean Chey"
"KOHA012","Cham Yeam","កោះកុង","Khemarak Phoumin","ខេមរភូមិន្ទ","11.383526","102.5550684","KOHA012 - Cham Yeam"
"KOHP001","Khemmeakrakphumin","កោះកុង","Khemarak Phoumin","ខេមរភូមិន្ទ","11.61075","102.978804","KOHP001 - Khemmeakrakphumin"
"KOHS001","Smach Mean Chey","កោះកុង","Khemara Phoumin","ខេមរភូមិន្ទ","11.6154","102.98474","KOHS001 - Smach Mean Chey"
"KRAA001","Sambok","ក្រចេះ","Chetr Borei","ចិត្របុរី","12.5903","106.0265","KRAA001 - Sambok"
"KRAA003","Chhloung","ក្រចេះ","Chhloung","ឆ្លូង","12.252597","105.977067","KRAA003 - Chhloung"
"KRAA004","Kbal Damrei","ក្រចេះ","Or Krieng Saenchay","អូរគ្រៀងសែនជ័យ","12.86919","106.198153","KRAA004 - Kbal Damrei"
"KRAA005","Svay Chreah","ក្រចេះ","Snuol","ស្នួល","12.320298","106.324222","KRAA005 - Svay Chreah"
"KRAA006","Kranhung Saen Chey","ក្រចេះ","Kratie","ក្រចេះ","12.129537","106.653759","KRAA006 - Kranhung Saen Chey"
"KRAA007","Ou Krieng","ក្រចេះ","Or Krieng Saenchay","អូរគ្រៀងសែនជ័យ","13.043829","106.180606","KRAA007 - Ou Krieng"
"KRAA008","Sambour","ក្រចេះ","Sambour","សំបូរ","12.776424","105.964835","KRAA008 - Sambour"
"KRAA009","Sandan","ក្រចេះ","Sambour","សំបូរ","12.689547","106.021083","KRAA009 - Sandan"
"KRAA010","Chambak","ក្រចេះ","Kratie","ក្រចេះ","12.278305","105.801464","KRAA010 - Chambak"
"KRAA012","Kanhchor","ក្រចេះ","Chhloung","ឆ្លូង","12.33255","106.052751","KRAA012 - Kanhchor"
"KRAP001","Kracheh","ក្រចេះ","Kracheh","ក្រចេះ","12.482385","106.020364","KRAP001 - Kracheh"
"KRAS001","Kracheh","ក្រចេះ","Kracheh","ក្រចេះ","12.4896","106.016","KRAS001 - Kracheh"
"KRAS002","Snuol","ក្រចេះ","Snuol","ស្នួល","12.0746","106.4211","KRAS002 - Snuol"
"KRAS003","Chhloung","ក្រចេះ","Chhloung","ឆ្លូង","12.2569","105.9602","KRAS003 - Chhloung"
"KRAS004","Sambour","ក្រចេះ","Sambour","សំបូរ","12.774535","105.964866","KRAS004 - Sambour"
"KRAS005","Preaek Prasab","ក្រចេះ","Prek Prasab","ព្រែកប្រសព្វ","12.35199","106.03661","KRAS005 - Preaek Prasab"
"MONA001","Chong Phlah","មណ្ឌលគិរី","Kaev Seima","កែវសីមា","12.614578","106.876878","MONA001 - Chong Phlah"
"MONA002","Dak Dam","មណ្ឌលគិរី","Ou Reang","អូររាំង","12.423385","107.312825","MONA002 - Dak Dam"
"MONA003","Srae Sangkum","មណ្ឌលគិរី","Kaoh Nheaek","កោះញែក","13.075742","107.044095","MONA003 - Srae Sangkum"
"MONA004","Bu Sra","មណ្ឌលគិរី","Pech Chreada","ពេជ្រាដា","12.541149","107.431679","MONA004 - Bu Sra"
"MONA005","Pu Chrey","មណ្ឌលគិរី","Pech Chreada","ពេជ្រាដា","12.684758","107.218298","MONA005 - Pu Chrey"
"MONA006","Srae Ampum","មណ្ឌលគិរី","Pech Chreada","ពេជ្រាដា","12.541868","107.337129","MONA006 - Srae Ampum"
"MONA007","Srae Khtum","មណ្ឌលគិរី","Kaev Seima","កែវសីមា","12.112262","106.886145","MONA007 - Srae Khtum"
"MONA008","Srae Chhuk","មណ្ឌលគិរី","Kaev Seima","កែវសីមា","12.139465","106.718123","MONA008 - Srae Chhuk"
"MONP001","Mondulkiri","មណ្ឌលគិរី","Senmonorom","សែនមនោរម្យ","12.457818","107.187645","MONP001 - Mondulkiri"
"MONS001","Spean Mean Chey","មណ្ឌលគិរី","Saen Monourom","សែនមនោរម្យ","12.454312","107.187197","MONS001 - Spean Mean Chey"
"ODDA001","Anlung Veaeng 01","ឧត្តរមានជ័យ","Samraong","សំរោង","14.08214","104.095182","ODDA001 - Anlung Veaeng 01"
"ODDA002","Anlung Veaeng 02","ឧត្តរមានជ័យ","Samraong","សំរោង","14.232786","104.080505","ODDA002 - Anlung Veaeng 02"
"ODDA003","Trapeang Tav","ឧត្ដរមានជ័យ","Anlong Veaeng","អន្លង់វែង","14.22539","103.897009","ODDA003 - Trapeang Tav"
"ODDA004","Trapeang Prasat 01","ឧត្ដរមានជ័យ","Trapeang Prasat","ត្រពាំងប្រាសាទ","14.19811","104.356795","ODDA004 - Trapeang Prasat 01"
"ODDA005","Trapeang Prasat 02","ឧត្ដរមានជ័យ","Trapeang Prasat","ត្រពាំងប្រាសាទ","14.112373","104.342542","ODDA005 - Trapeang Prasat 02"
"ODDA006","Samraong","ឧត្ដរមានជ័យ","Samraong","សំរោង","14.177446","103.507004","ODDA006 - Samraong"
"ODDA007","Chong Kal","ឧត្ដរមានជ័យ","Chong Kal","ចុងកាល់","13.961066","103.572905","ODDA007 - Chong Kal"
"ODDA008","Kouk Mon","ឧត្ដរមានជ័យ","Banteay Ampil","បន្ទាយអំពិល","14.161922","103.288798","ODDA008 - Kouk Mon"
"ODDP001","Samraong","ឧត្ដរមានជ័យ","Samraong","សំរោង","14.171544","103.511342","ODDP001 - Samraong"
"ODDS001","Samraong","ឧត្ដរមានជ័យ","Samraong","សំរោង","14.17525","103.5071667","ODDS001 - Samraong"
"ODDS002","Anlung Veaeng","ឧត្តរមានជ័យ","Samraong","សំរោង","14.230011","104.0781543","ODDS002 - Anlung Veaeng"
