"id","branch_id","market","market_kh","province","province_kh","district","district_kh","commune","commune_kh","village","village_kh","latitude","longitude","google_maps_url"
"303","PRH02","Phnom Dek","ផ្សារភ្នំដែក","Preah Vihear","ព្រះវិហារ","Rovieng","រវៀង","Robieb","របៀប","Rovieng Cheung","រវៀងជើង","13.304874","105.00228","https://www.google.com/maps?q=13.304874,105.00228"
"304","KAN","Prek Korng Market","ផ្សារព្រេក កូរង","Kandal","កណ្ដាល","Khsach Kandal","ខ្សាច់កណ្ដាល","","","","","11.029762","105.059035","https://www.google.com/maps?q=11.029762,105.059035"
"305","BAT02","Slorkram Market","ផ្សារសលូរក្រាម","Battambang","បាត់ដំបង","Sangkae","សង្កែ","Vaot Ta Muem","វត្ដតាមិម","","","13.036847","103.201762","https://www.google.com/maps?q=13.036847,103.201762"
"306","KOH03","Chomrka Luang Market","ផ្សារចូមរកា លុាង","Preah Sihanouk","ព្រះសីហនុ","Kampong Seila","កំពង់សីលា","Kampong Seila","កំពង់សីលា","","","11.042585","103.794982","https://www.google.com/maps?q=11.042585,103.794982"
"307","KAN","Deom Apil Market","ផ្សារដើមអំពិល","Kandal","កណ្ដាល","Ta Khmau Municipality","ក្រុងតាខ្មៅ","Ta Khmao Sangkat","សង្កាត់តាខ្មៅ","Ta Khmao","តាខ្មៅ","11.464332","104.943145","https://www.google.com/maps?q=11.464332,104.943145"
"308","KAM02","Phsar Keb","ផ្សារកែប","Kep","កែប","","","","","","","10.484538","104.319518","https://www.google.com/maps?q=10.484538,104.319518"
"309","BAT10","Pangrolem Markets","ផ្សារពាងរូលេម","Pailin","ប៉ៃលិន","Pailin Municipality","ក្រុងប៉ៃលិន","Pailin Sangkat","សង្កាត់ប៉ៃលិន","","","12.813751","102.717417","https://www.google.com/maps?q=12.813751,102.717417"
"310","PNP08","Dey Tmey","ផ្សារដេយ ថ្មី","Phnom Penh Capital","រាជធានីភ្នំពេញ","Mean Chey Khan","ខណ្ឌមានជ័យ","Stueng Mean chey 3 Sangkat","សង្កាត់ស្ទឹងមានជ័យទី៣","","","11.530303","104.875365","https://www.google.com/maps?q=11.530303,104.875365"
"311","ODD01","Kouk Mon Market","ផ្សារគោកមន","Oddar Meanchey","ឧត្ដរមានជ័យ","Banteay Ampil","បន្ទាយអំពិល","Kouk Mon","គោកមន","Trapeang Ampil","ត្រពាំងអំពិល","14.162264","103.286275","https://www.google.com/maps?q=14.162264,103.286275"
"312","PNP02","7 Makara Market","ផ្សារ៧មករា","Phnom Penh Capital","រាជធានីភ្នំពេញ","Tuol Kouk Khan","ខណ្ឌទួលគោក","Boeng Kak Ti Pir Sangkat","សង្កាត់បឹងកក់ទី ២","","","11.574887","104.898487","https://www.google.com/maps?q=11.574887,104.898487"
"313","BAT01","Po Tivong Market","ផ្សារពូ តីវូង","Battambang","បាត់ដំបង","Battambang Municipality","ក្រុងបាត់ដំបង","","","","","13.118988","103.196029","https://www.google.com/maps?q=13.118988,103.196029"
"314","PNP09","Romdoul Market","ផ្សាររូមដអូល","Phnom Penh Capital","រាជធានីភ្នំពេញ","Doun Penh Khan","ខណ្ឌដូនពេញ","","","","","11.558098","104.776283","https://www.google.com/maps?q=11.558098,104.776283"
"315","SPE01","Kampong Speu Market","ផ្សារកំពង់ស្ពឺ","Kampong Speu","កំពង់ស្ពឺ","Chbar Mon Municipality","ក្រុងច្បារមន","Chbar Mon Sangkat","សង្កាត់ច្បារមន","Chamkar Doung","ចំការដូង","11.461452","104.52134","https://www.google.com/maps?q=11.461452,104.52134"
"316","Center2","Market Prey Nob","ផ្សារព្រៃនប់","Preah Sihanouk","ព្រះសីហនុ","Prey Nob","ព្រៃនប់","Prey Nob","ព្រៃនប់","Prey Nob Pir","ព្រៃនប់២","10.629994","103.781975","https://www.google.com/maps?q=10.629994,103.781975"
"317","KAN","Teok Vel Market","ផ្សារទឹកវេល","Kandal","កណ្ដាល","S'ang","ស្អាង","Tuek Vil","ទឹកវិល","Voat Kandal","វត្ដកណ្ដាល","11.291884","105.036194","https://www.google.com/maps?q=11.291884,105.036194"
