"No","ID","EN name","KH name","province_id","province_en","province_kh","district_id","district_en","district_kh","district_id","commune_","commune_","commune"
"49","9049","Rong Kluea Market","ផ្សាររ៉ុងក្លឿ","01","Banteay Meanchey","បន្ទាយមានជ័យ","0110","Paoy Paet","ប៉ោយប៉ែត","0110","011003","Phsar Kandal","ផ្សារកណ្តាល"
"50","9050","Samraong Market","ផ្សារសំរោង","22","Oddar Meanchey","ឧត្តរមានជ័យ","2204","Samraong","សំរោង","2204","220404","Samraong","សំរោង"
"51","9051","Anlong Veng Market","ផ្សារអន្លង់វែង","22","Oddar Meanchey","ឧត្តរមានជ័យ","2201","Anlong Veaeng","អន្លង់វែង","2201","220101","Anlong Veaeng","អន្លង់វែង"
"52","9052","Samaki Market","ផ្សារសាមគ្គីប៉ៃលិន","24","Pailin","ប៉ៃលិន","2401","Pailin","ប៉ៃលិន","2401","240101","Pailin","ប៉ៃលិន"
"53","9053","Phsar Thmey Pailin","ផ្សារថ្មីប៉ៃលិន","24","Pailin","ប៉ៃលិន","2401","Pailin","ប៉ៃលិន","2401","240101","Pailin","ប៉ៃលិន"
"54","9054","Pailin Market","ផ្សារថ្មីប៉ៃលិន","24","Pailin","ប៉ៃលិន","2401","Pailin","ប៉ៃលិន","2401","240101","Pailin","ប៉ៃលិន"
"55","9055","Koh Kong Market","ផ្សារដុងទុងកោះកុង","09","Koh Kong","កោះកុង","0904","Khemara Phoumin","ខេមរភូមិន្ទ","0904","090403","Stueng Veaeng","ស្ទឹងវែង"
"56","9056","Dong Tong Market","ផ្សារដុងទុង","09","Koh Kong","កោះកុង","0904","Khemara Phoumin","ខេមរភូមិន្ទ","0904","090403","Stueng Veaeng","ស្ទឹងវែង"
"57","9057","Phsar Leu Koh Kong","ផ្សារលើកោះកុង","09","Koh Kong","កោះកុង","0904","Khemara Phoumin","ខេមរភូមិន្ទ","0904","090403","Stueng Veaeng","ស្ទឹងវែង"
"58","9058","Kratie Central Market","ផ្សារធំក្រចេះ","10","Kratie","ក្រចេះ","1002","Kracheh","ក្រចេះ","1002","100209","Kracheh","ក្រចេះ"
"59","9059","Kratie Night Market","ផ្សាររាត្រីក្រចេះ","10","Kratie","ក្រចេះ","1002","Kracheh","ក្រចេះ","1002","100209","Kracheh","ក្រចេះ"
"60","9060","Stung Treng Market","ផ្សារសាមគ្គីស្ទឹងត្រែង","19","Stung Treng","ស្ទឹងត្រែង","1904","Stueng Traeng","ស្ទឹងត្រែង","1904","190401","Stueng Traeng","ស្ទឹងត្រែង"
